04/03/2026-10:50:59.608998  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-14:22:17.326454  [**] [1:2100498:7] GPL ATTACK_RESPONSE id check returned root [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 217.160.0.187:80 -> 192.168.20.148:60882
04/03/2026-14:23:49.493929  [**] [1:2100498:7] GPL ATTACK_RESPONSE id check returned root [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 217.160.0.187:80 -> 192.168.20.148:51890
04/03/2026-14:37:56.549453  [**] [1:2100498:7] GPL ATTACK_RESPONSE id check returned root [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 217.160.0.187:80 -> 192.168.20.148:59152
04/03/2026-14:38:12.234980  [**] [1:2100498:7] GPL ATTACK_RESPONSE id check returned root [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 217.160.0.187:80 -> 192.168.20.148:46714
04/03/2026-17:22:11.427251  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.20.148:33966 -> 91.189.91.81:80
04/03/2026-17:22:11.501602  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.20.148:33966 -> 91.189.91.81:80
04/03/2026-17:22:11.501602  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.20.148:33966 -> 91.189.91.81:80
04/03/2026-17:22:11.501602  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.20.148:33966 -> 91.189.91.81:80
04/03/2026-17:22:11.501602  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.20.148:33966 -> 91.189.91.81:80
04/03/2026-17:22:11.501602  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.20.148:33966 -> 91.189.91.81:80
04/03/2026-17:22:11.501602  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.20.148:33966 -> 91.189.91.81:80
04/03/2026-17:22:11.501602  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.20.148:33966 -> 91.189.91.81:80
04/03/2026-17:22:11.501602  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.20.148:33966 -> 91.189.91.81:80
04/03/2026-17:22:11.501602  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.20.148:33966 -> 91.189.91.81:80
04/03/2026-17:22:11.524110  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.20.148:33966 -> 91.189.91.81:80
04/03/2026-17:22:11.544669  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.20.148:33966 -> 91.189.91.81:80
04/03/2026-17:22:11.591308  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.20.148:33966 -> 91.189.91.81:80
04/03/2026-17:22:11.698684  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.20.148:33966 -> 91.189.91.81:80
04/03/2026-17:22:12.296728  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.20.148:33966 -> 91.189.91.81:80
04/03/2026-17:22:12.314570  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.20.148:33966 -> 91.189.91.81:80
04/03/2026-17:22:12.314570  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.20.148:33966 -> 91.189.91.81:80
